,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21,Factor_22,Factor_23,Factor_24,Factor_25,Factor_26,Factor_27,Factor_28,Factor_29,Factor_30,Factor_31,Factor_32,Factor_33,Factor_34,Factor_35,Factor_36,Factor_37,Factor_38,Factor_39
emb_dim_0010,-0.022755642830312398,-0.33903609788893246,-0.3486845202369227,-0.4250814762319802,0.21445930461067894,0.04176221294024233,0.09217746617082632,-0.12884953745914518,0.07953189600328542,0.11292242980109349,-0.016926666351948325,0.024329689541987304,0.02785997940164094,0.12103397421365715,0.14265885320458038,0.11150138969664504,0.13351312413107022,-0.0944396015099339,0.16860881552597992,0.17129036684109347,0.0347574072771755,0.1440434836113617,0.07593483976086271,-0.02953726924816444,-0.03308632625474115,-0.16360050818618677,0.11554044955523375,0.20687169183074142,-0.060811169899083056,-0.03785540709760568,-0.01563130853601213,-0.10193172256607302,-0.11151597679638006,0.00897089323430738,-0.11367788748139938,-0.1152568122815802,0.04972953863056451,0.04221565355862516,0.038749426081800147
emb_dim_0011,0.01893565343416209,-0.3293648444612422,0.31786285566847905,0.26226711120390994,0.12110762503922787,0.19389319006069494,-0.18057085788863228,0.1894979853599547,-0.07168105315936482,0.019458808443149303,0.19156794996557877,0.11493749547660456,-0.0014848300390882998,0.25598016471109564,-0.009524128169185055,-0.03277531794583509,-0.10996753438684895,0.18716854131526534,0.0561231394806039,0.03666145133080261,-0.024271239212455064,0.06709478843484822,-0.11179897462785424,0.03866819474741794,-0.04023595417514202,0.1264976207910667,-0.0560017709375765,-0.019631202161498985,-0.06987154667198031,-0.11245805396005944,0.09139661732757207,-0.08308650737369494,-0.010849867616329306,-0.025835242229305572,-0.03139705247309268,0.19708695327810408,0.10736181624134315,0.041013297663475494,0.04557789907245316
emb_dim_0012,0.350738021019606,-0.01462416117872964,-0.27841241150047374,0.26204962292046835,0.3104536240853637,-0.4675002450509243,0.19878639503091575,0.13123068501853366,-0.06402002017897218,0.020577392390898827,-0.04972615760690378,0.024943965156124247,0.10793330966018612,-0.00703728721778402,0.04281172614406686,0.06618952987757562,-0.03535339901545809,0.01666851428999279,0.18598970683574298,-0.08036925152485941,0.07208959266385133,-0.07078780151334131,-0.011085979700092688,-0.14920799725195355,-0.061357515636537165,-0.008601791253087021,-0.02015908293182299,-0.02553741052431002,0.13760135852027813,0.23095130718651008,0.15554867182936313,-0.06738686891032283,0.028989821994460544,0.11180436178249091,-0.024483620854979137,0.06979794780868076,-0.08232181437843544,0.02038780129159526,-0.027658824461522655
emb_dim_0013,-0.41952503718280526,0.3367461680399585,0.014961928982438687,-0.2425985185597013,-0.19508720033338392,-0.1886734045736667,0.0002659995498625437,0.29166036793578204,0.06686889332367403,-0.1365437405409518,-0.004123257087665563,-0.04082457940517124,0.03782004326723334,-0.15170263747923624,-0.041517226051742184,0.08186710759926695,0.07010375801392682,-0.057860575912783305,0.06686014162311471,-0.0664988302605789,0.13797264055271424,0.1058813223488322,0.06129580018224603,0.1846579972830132,-0.0381101418071431,0.08910989838730626,0.0003387758297316354,0.03404302646032848,0.06608959333577342,0.24658815396078,0.006149170213241371,0.045588902285664035,0.10921270375602517,0.1281301185268261,0.08820395412667485,-0.10347339013127792,-0.025570417750936877,-0.054096608840268456,0.13176929623105607
emb_dim_0014,0.6531195738284631,0.4767670272156141,0.2779593691666258,0.08567478219215016,0.046439220075276,0.030372178379562745,0.0581683276100094,0.05713776835584131,-0.06978232126292465,0.05827023707253772,-0.011423493538905954,0.0858107016926219,0.09591614550357491,0.12639592669665414,-9.080555020658507e-05,0.014231462049781705,0.042582582292904105,0.10621808796882443,0.008039150112752953,0.0034812351308958467,-0.11367753944812217,-0.029401064914216603,-0.03163647473682165,0.04968044524093424,0.029047938204487967,-0.026135565150514975,0.03751701781371963,-0.10154753770834889,-0.04938595059408392,-0.07220137361096664,0.072334326891009,-0.0031538879389427558,0.005053185580079032,0.054409200373680584,-0.014607962281635998,0.027631938220446756,0.12248873309173425,0.023975475570518493,-0.019792396771343774
emb_dim_0015,0.24875597860883072,0.5974618914243918,-0.2356690472143576,-0.18802368592122246,0.026943649226480154,0.03295838668417945,-0.0336460096148646,-0.04332169498899293,-0.16429471589397493,0.011451456771187253,0.03916143554866252,-0.10362355974442211,0.03874703541426519,0.024425286188519642,-0.011552534572689113,-0.1550444174384785,0.010268170229256914,0.12562719862479418,0.05772345267997925,0.07969539574675094,0.04117025795024792,-0.18704613760725342,-0.086224857753956,-0.0730764762658581,0.15320330255867903,0.0016396670210478456,0.16802693369618632,0.08320147441263556,-0.032036033536051355,0.07190220596501147,0.04220865469215007,0.059134389712714515,0.04686343184949337,-0.030754752607822552,0.18270714956516562,0.0066946824609662725,-0.037109526708658,0.14584216511914705,-0.10084334000024904
emb_dim_0016,-0.4285454409585998,0.46858265994378157,-0.14393740651802525,-0.25999738681383067,-0.07095732446276631,-0.11330477566203515,-0.15985051050065743,0.15643328315068233,-0.10426319180390894,0.09910648101994425,-0.020421304012299597,-0.10312786454193613,0.09614704501863874,-0.031122026758955593,0.06492316453075024,-0.07241129141227685,-0.15465375594802003,0.039303565555166654,0.03247406721982502,0.02778295986983768,0.14603138434335292,0.09344617828546206,-0.011375044797525064,0.061525814862329255,0.06239749495579951,-0.06533669531883388,0.14835673896915622,-0.05425084437886892,-0.04875867197177563,0.1797166568471267,-0.03701639680778642,-0.0810317745203053,0.12098147351739938,0.21554712817970947,-0.11354861925400365,0.03959455029167373,-0.06852734961814118,0.1420367045743263,0.026138921494397296
emb_dim_0017,0.6107546779065907,-0.264766935480724,0.26384255339229573,0.4024414888808206,-0.006744327017105425,0.026086622002195185,0.19001537539081761,0.038894514428456775,0.0396430962323061,0.20487093845925364,0.11247218130004748,-0.055750564235076704,0.01116230175620447,-0.013395486194195096,-0.0026283069676215224,-0.0559253744901749,-0.059878713726597234,0.01223527790748513,-0.12793693085905367,-0.015577972437795955,0.05614718329585028,0.08166557064412552,-0.037764858558080004,0.07161562719883054,0.08291484597172431,-0.017539794137062588,0.06746480115992595,-0.09110330511688379,0.0807371838023289,-0.004771826108354027,-0.0552582415697977,-0.06420489078208616,0.10056924693582148,0.10141460397244813,0.061751145897508845,-0.020772836849883222,0.021955378101484478,-0.01942873592786548,-0.1063966166023716
emb_dim_0018,0.31145542647455565,0.1605087291794639,-0.19160298624042382,0.08868768796052375,-0.017474335787334747,0.5675428404526766,-0.04479714558032188,0.09914044802956133,0.07065195632730276,0.0014082527424708557,0.06759083515760485,-0.045731719104073094,0.10559451482666071,-0.058538332643946256,-0.0010081728875914805,-0.246099546758496,0.04584250791057545,0.17997024928542607,0.19069176443031965,0.0030147053061551146,-0.007755572269539784,0.14634855191922358,0.03173359763520773,-0.028685977666713703,-0.03308299916416084,-0.001251262938070259,0.10088920943790597,-0.02373683264366055,0.03032108198505567,0.09959433290630253,-0.05827691309203298,-0.01385410925187368,0.027520301560944985,0.06482543630830373,-0.01831980543580878,-0.033254120628459095,-0.013430017211039001,0.12616995350186944,-0.003727817795936403
emb_dim_0019,-0.15799628062755477,0.025275190282911263,0.13857206834112337,-0.18444987318197834,0.12050299133008982,0.10429381365565628,-0.7315614566353748,0.02257616222394454,0.011230571051899849,0.08895710150705417,0.03461710139624065,0.022028404075379513,-0.09672924317719324,-0.12131469874704613,-0.013742674024105873,-0.11272569980632606,0.029869526162506054,0.04369032822329624,-0.05094244047582281,-0.035963660719788945,-0.024281592166401675,0.05098117731789665,0.016757483170430455,-0.11857403028631455,-0.02935751607250477,-0.012373487729473229,0.010598612953522397,0.0708999747494951,0.013957532956505975,-0.000311301082091328,-0.11354236130233562,-0.029017445563324796,0.009604122008517712,-0.037263726862549834,0.056115218681385894,-0.015259371141497443,-0.0005802175024997926,0.028246064608489004,0.12567479979992294
