factor,dimension,carga,carga_abs
Factor_24,emb_dim_0169,0.31935756953544564,0.31935756953544564
Factor_24,emb_dim_0150,0.3137682737370569,0.3137682737370569
Factor_24,emb_dim_0327,-0.30463899834492336,0.30463899834492336
Factor_24,emb_dim_0363,-0.3035247355885414,0.3035247355885414
Factor_24,emb_dim_0168,0.30172734996513373,0.30172734996513373
Factor_24,emb_dim_0128,0.28540612724340797,0.28540612724340797
Factor_25,emb_dim_0413,0.5282431175793362,0.5282431175793362
Factor_25,emb_dim_0435,0.5253268590396049,0.5253268590396049
Factor_25,emb_dim_0165,-0.3316245039955137,0.3316245039955137
Factor_25,emb_dim_0027,-0.33064557851970905,0.33064557851970905
Factor_25,emb_dim_0190,-0.2969612572084796,0.2969612572084796
Factor_25,emb_dim_0467,-0.2911222422676264,0.2911222422676264
Factor_25,emb_dim_0457,0.28823108702546735,0.28823108702546735
Factor_25,emb_dim_0182,0.27491849959107034,0.27491849959107034
Factor_26,emb_dim_0308,0.382710399720169,0.382710399720169
Factor_26,emb_dim_0123,-0.345586618825642,0.345586618825642
Factor_26,emb_dim_0338,0.30163248342352983,0.30163248342352983
Factor_26,emb_dim_0315,0.28006495649692614,0.28006495649692614
Factor_26,emb_dim_0043,0.2529727179342257,0.2529727179342257
Factor_26,emb_dim_0445,-0.25100860186364815,0.25100860186364815
Factor_26,emb_dim_0030,-0.25057121704761753,0.25057121704761753
Factor_26,emb_dim_0339,-0.24954414352019438,0.24954414352019438
Factor_27,emb_dim_0231,-0.546146432986337,0.546146432986337
Factor_27,emb_dim_0048,-0.33743759124331074,0.33743759124331074
Factor_27,emb_dim_0076,-0.30425605347255763,0.30425605347255763
Factor_27,emb_dim_0455,-0.2553912634755911,0.2553912634755911
Factor_27,emb_dim_0462,0.24166858735855065,0.24166858735855065
Factor_27,emb_dim_0283,0.2397576571726661,0.2397576571726661
Factor_27,emb_dim_0412,-0.23788030308021207,0.23788030308021207
Factor_27,emb_dim_0355,0.23757115873004717,0.23757115873004717
Factor_28,emb_dim_0160,0.7049690075953977,0.7049690075953977
Factor_28,emb_dim_0342,-0.41239339097836963,0.41239339097836963
Factor_28,emb_dim_0315,-0.31649237451130374,0.31649237451130374
Factor_28,emb_dim_0234,-0.2981057693445299,0.2981057693445299
Factor_28,emb_dim_0263,-0.29583211865248416,0.29583211865248416
Factor_28,emb_dim_0511,0.2955399057719714,0.2955399057719714
Factor_28,emb_dim_0031,0.29363759038813797,0.29363759038813797
Factor_28,emb_dim_0355,0.2891298958446762,0.2891298958446762
Factor_29,emb_dim_0352,-0.6517870003296565,0.6517870003296565
Factor_29,emb_dim_0002,0.3517508688295038,0.3517508688295038
Factor_29,emb_dim_0370,0.34481312493112665,0.34481312493112665
Factor_29,emb_dim_0032,0.31994480325377295,0.31994480325377295
Factor_29,emb_dim_0436,0.28847849135834713,0.28847849135834713
Factor_29,emb_dim_0390,0.2720154923008732,0.2720154923008732
Factor_29,emb_dim_0452,-0.2631449569572808,0.2631449569572808
Factor_29,emb_dim_0245,0.2561423205831445,0.2561423205831445
Factor_30,emb_dim_0114,0.7597512721147784,0.7597512721147784
Factor_30,emb_dim_0062,0.4668846507178658,0.4668846507178658
Factor_30,emb_dim_0502,-0.42590886984673465,0.42590886984673465
Factor_30,emb_dim_0387,0.3552119792328134,0.3552119792328134
Factor_30,emb_dim_0440,-0.3433096831669209,0.3433096831669209
Factor_30,emb_dim_0156,0.33645654079431875,0.33645654079431875
Factor_30,emb_dim_0322,-0.3268964514999617,0.3268964514999617
Factor_30,emb_dim_0193,-0.3067662823776017,0.3067662823776017
Factor_31,emb_dim_0130,-0.7232571269145082,0.7232571269145082
Factor_31,emb_dim_0005,-0.3728936677909658,0.3728936677909658
Factor_31,emb_dim_0196,-0.3429016666552176,0.3429016666552176
Factor_31,emb_dim_0153,-0.28348656333696876,0.28348656333696876
Factor_31,emb_dim_0509,-0.2804046000736983,0.2804046000736983
Factor_31,emb_dim_0378,-0.2676688697179577,0.2676688697179577
Factor_31,emb_dim_0340,-0.25544144731308277,0.25544144731308277
Factor_31,emb_dim_0247,-0.24662424860293067,0.24662424860293067
Factor_32,emb_dim_0373,0.7475430755340428,0.7475430755340428
Factor_32,emb_dim_0044,0.5120558194824848,0.5120558194824848
Factor_32,emb_dim_0439,-0.31504599587661614,0.31504599587661614
Factor_32,emb_dim_0161,-0.3044132749109653,0.3044132749109653
Factor_32,emb_dim_0091,0.30119039004449577,0.30119039004449577
Factor_32,emb_dim_0322,-0.2959985692612177,0.2959985692612177
Factor_32,emb_dim_0187,-0.2784214446061178,0.2784214446061178
Factor_32,emb_dim_0343,0.2775287334016224,0.2775287334016224
Factor_33,emb_dim_0348,0.7063805420005462,0.7063805420005462
Factor_33,emb_dim_0439,0.2828574081372391,0.2828574081372391
Factor_33,emb_dim_0305,-0.23446511394219843,0.23446511394219843
Factor_33,emb_dim_0147,0.22971439011057443,0.22971439011057443
Factor_33,emb_dim_0243,0.22687558481120043,0.22687558481120043
Factor_33,emb_dim_0077,-0.20956687030464866,0.20956687030464866
Factor_33,emb_dim_0265,0.20781859370272862,0.20781859370272862
Factor_33,emb_dim_0482,0.20524623361091693,0.20524623361091693
Factor_34,emb_dim_0164,-0.6923247271424281,0.6923247271424281
