START_SCL_FEATURES {'scl_records': 198, 'already_done': 0}
SCL_FEATURE_OK 31 S2A_MSIL2A_20200928T153621_N0500_R068_T18NUK_20230420T030915 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2020/month=09/tile=MGRS-18NUK/S2A_MSIL2A_20200928T153621_N0500_R068_T18NUK_20230420T030915.parquet
SCL_FEATURE_OK 32 S2A_MSIL2A_20200928T153621_N0500_R068_T18NUJ_20230420T030915 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2020/month=09/tile=MGRS-18NUJ/S2A_MSIL2A_20200928T153621_N0500_R068_T18NUJ_20230420T030915.parquet
SCL_FEATURE_OK 33 S2A_MSIL2A_20201008T153631_N0500_R068_T18NUJ_20230411T110503 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2020/month=10/tile=MGRS-18NUJ/S2A_MSIL2A_20201008T153631_N0500_R068_T18NUJ_20230411T110503.parquet
SCL_FEATURE_OK 34 S2A_MSIL2A_20201018T153621_N0500_R068_T18NUJ_20230310T235603 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2020/month=10/tile=MGRS-18NUJ/S2A_MSIL2A_20201018T153621_N0500_R068_T18NUJ_20230310T235603.parquet
SCL_FEATURE_OK 35 S2B_MSIL2A_20201023T153619_N0500_R068_T18NUJ_20230306T092742 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2020/month=10/tile=MGRS-18NUJ/S2B_MSIL2A_20201023T153619_N0500_R068_T18NUJ_20230306T092742.parquet
SCL_FEATURE_OK 36 S2A_MSIL2A_20201107T153621_N0500_R068_T18NUJ_20230302T180658 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2020/month=11/tile=MGRS-18NUJ/S2A_MSIL2A_20201107T153621_N0500_R068_T18NUJ_20230302T180658.parquet
SCL_FEATURE_OK 37 S2A_MSIL2A_20210116T153621_N0500_R068_T18NUK_20230610T012640 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=01/tile=MGRS-18NUK/S2A_MSIL2A_20210116T153621_N0500_R068_T18NUK_20230610T012640.parquet
SCL_FEATURE_OK 38 S2A_MSIL2A_20210116T153621_N0500_R068_T18NUJ_20230610T012640 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=01/tile=MGRS-18NUJ/S2A_MSIL2A_20210116T153621_N0500_R068_T18NUJ_20230610T012640.parquet
SCL_FEATURE_OK 39 S2B_MSIL2A_20210131T153619_N0500_R068_T18NUK_20230607T131410 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=01/tile=MGRS-18NUK/S2B_MSIL2A_20210131T153619_N0500_R068_T18NUK_20230607T131410.parquet
SCL_FEATURE_OK 40 S2B_MSIL2A_20210131T153619_N0500_R068_T18NUJ_20230607T131410 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=01/tile=MGRS-18NUJ/S2B_MSIL2A_20210131T153619_N0500_R068_T18NUJ_20230607T131410.parquet
SCL_FEATURE_OK 41 S2B_MSIL2A_20210220T153619_N0500_R068_T18NUJ_20230607T124857 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=02/tile=MGRS-18NUJ/S2B_MSIL2A_20210220T153619_N0500_R068_T18NUJ_20230607T124857.parquet
SCL_FEATURE_OK 42 S2B_MSIL2A_20210501T153619_N0500_R068_T18NUK_20230204T031759 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=05/tile=MGRS-18NUK/S2B_MSIL2A_20210501T153619_N0500_R068_T18NUK_20230204T031759.parquet
SCL_FEATURE_OK 43 S2B_MSIL2A_20210501T153619_N0500_R068_T18NUJ_20230204T031759 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=05/tile=MGRS-18NUJ/S2B_MSIL2A_20210501T153619_N0500_R068_T18NUJ_20230204T031759.parquet
SCL_FEATURE_OK 44 S2B_MSIL2A_20210521T153619_N0500_R068_T18NUJ_20230207T135940 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=05/tile=MGRS-18NUJ/S2B_MSIL2A_20210521T153619_N0500_R068_T18NUJ_20230207T135940.parquet
SCL_FEATURE_OK 45 S2A_MSIL2A_20210615T153621_N0500_R068_T18NUK_20230317T044136 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=06/tile=MGRS-18NUK/S2A_MSIL2A_20210615T153621_N0500_R068_T18NUK_20230317T044136.parquet
SCL_FEATURE_OK 46 S2A_MSIL2A_20210705T153621_N0500_R068_T18NUK_20230124T084901 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=07/tile=MGRS-18NUK/S2A_MSIL2A_20210705T153621_N0500_R068_T18NUK_20230124T084901.parquet
SCL_FEATURE_OK 47 S2A_MSIL2A_20210705T153621_N0500_R068_T18NUJ_20230124T084901 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=07/tile=MGRS-18NUJ/S2A_MSIL2A_20210705T153621_N0500_R068_T18NUJ_20230124T084901.parquet
SCL_FEATURE_OK 48 S2A_MSIL2A_20210715T153621_N0500_R068_T18NUJ_20230227T215725 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=07/tile=MGRS-18NUJ/S2A_MSIL2A_20210715T153621_N0500_R068_T18NUJ_20230227T215725.parquet
SCL_FEATURE_OK 49 S2B_MSIL2A_20210720T153619_N0500_R068_T18NUK_20230129T132543 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=07/tile=MGRS-18NUK/S2B_MSIL2A_20210720T153619_N0500_R068_T18NUK_20230129T132543.parquet
SCL_FEATURE_OK 50 S2B_MSIL2A_20210720T153619_N0500_R068_T18NUK_20230125T024040 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=07/tile=MGRS-18NUK/S2B_MSIL2A_20210720T153619_N0500_R068_T18NUK_20230125T024040.parquet
SCL_FEATURE_OK 51 S2B_MSIL2A_20210720T153619_N0500_R068_T18NUJ_20230129T132543 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=07/tile=MGRS-18NUJ/S2B_MSIL2A_20210720T153619_N0500_R068_T18NUJ_20230129T132543.parquet
SCL_FEATURE_OK 52 S2B_MSIL2A_20210720T153619_N0500_R068_T18NUJ_20230125T024040 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=07/tile=MGRS-18NUJ/S2B_MSIL2A_20210720T153619_N0500_R068_T18NUJ_20230125T024040.parquet
SCL_FEATURE_OK 53 S2B_MSIL2A_20210730T153619_N0500_R068_T18NUK_20230203T123223 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=07/tile=MGRS-18NUK/S2B_MSIL2A_20210730T153619_N0500_R068_T18NUK_20230203T123223.parquet
SCL_FEATURE_OK 54 S2A_MSIL2A_20210804T153621_N0500_R068_T18NUK_20230115T131835 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=08/tile=MGRS-18NUK/S2A_MSIL2A_20210804T153621_N0500_R068_T18NUK_20230115T131835.parquet
SCL_FEATURE_OK 55 S2A_MSIL2A_20210804T153621_N0500_R068_T18NUJ_20230115T131835 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=08/tile=MGRS-18NUJ/S2A_MSIL2A_20210804T153621_N0500_R068_T18NUJ_20230115T131835.parquet
SCL_FEATURE_OK 56 S2A_MSIL2A_20210903T153621_N0500_R068_T18NUK_20230110T115157 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=09/tile=MGRS-18NUK/S2A_MSIL2A_20210903T153621_N0500_R068_T18NUK_20230110T115157.parquet
SCL_FEATURE_OK 57 S2A_MSIL2A_20210903T153621_N0500_R068_T18NUJ_20230110T115157 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=09/tile=MGRS-18NUJ/S2A_MSIL2A_20210903T153621_N0500_R068_T18NUJ_20230110T115157.parquet
SCL_FEATURE_OK 58 S2A_MSIL2A_20210913T153621_N0500_R068_T18NUK_20230114T050842 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=09/tile=MGRS-18NUK/S2A_MSIL2A_20210913T153621_N0500_R068_T18NUK_20230114T050842.parquet
SCL_FEATURE_OK 59 S2A_MSIL2A_20210913T153621_N0500_R068_T18NUJ_20230114T050842 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=09/tile=MGRS-18NUJ/S2A_MSIL2A_20210913T153621_N0500_R068_T18NUJ_20230114T050842.parquet
SCL_FEATURE_OK 60 S2B_MSIL2A_20210918T153619_N0500_R068_T18NUJ_20230113T125055 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=09/tile=MGRS-18NUJ/S2B_MSIL2A_20210918T153619_N0500_R068_T18NUJ_20230113T125055.parquet
SCL_FEATURE_OK 61 S2A_MSIL2A_20211003T153621_N0500_R068_T18NUJ_20230112T102129 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=10/tile=MGRS-18NUJ/S2A_MSIL2A_20211003T153621_N0500_R068_T18NUJ_20230112T102129.parquet
SCL_FEATURE_OK 62 S2B_MSIL2A_20211008T153619_N0500_R068_T18NUJ_20230108T090330 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=10/tile=MGRS-18NUJ/S2B_MSIL2A_20211008T153619_N0500_R068_T18NUJ_20230108T090330.parquet
SCL_FEATURE_OK 63 S2A_MSIL2A_20211013T153621_N0500_R068_T18NUK_20230112T234425 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=10/tile=MGRS-18NUK/S2A_MSIL2A_20211013T153621_N0500_R068_T18NUK_20230112T234425.parquet
SCL_FEATURE_OK 64 S2A_MSIL2A_20211013T153621_N0500_R068_T18NUJ_20230112T234425 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=10/tile=MGRS-18NUJ/S2A_MSIL2A_20211013T153621_N0500_R068_T18NUJ_20230112T234425.parquet
SCL_FEATURE_OK 65 S2B_MSIL2A_20211018T153619_N0500_R068_T18NUJ_20230115T202314 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=10/tile=MGRS-18NUJ/S2B_MSIL2A_20211018T153619_N0500_R068_T18NUJ_20230115T202314.parquet
SCL_FEATURE_OK 66 S2B_MSIL2A_20211028T153619_N0500_R068_T18NUJ_20230114T010855 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=10/tile=MGRS-18NUJ/S2B_MSIL2A_20211028T153619_N0500_R068_T18NUJ_20230114T010855.parquet
SCL_FEATURE_OK 67 S2A_MSIL2A_20211102T153621_N0500_R068_T18NUK_20221229T025954 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=11/tile=MGRS-18NUK/S2A_MSIL2A_20211102T153621_N0500_R068_T18NUK_20221229T025954.parquet
SCL_FEATURE_OK 68 S2A_MSIL2A_20211102T153621_N0500_R068_T18NUJ_20221229T025954 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=11/tile=MGRS-18NUJ/S2A_MSIL2A_20211102T153621_N0500_R068_T18NUJ_20221229T025954.parquet
SCL_FEATURE_OK 69 S2B_MSIL2A_20211107T153619_N0500_R068_T18NUJ_20230101T134442 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=11/tile=MGRS-18NUJ/S2B_MSIL2A_20211107T153619_N0500_R068_T18NUJ_20230101T134442.parquet
SCL_FEATURE_OK 70 S2B_MSIL2A_20211127T153619_N0500_R068_T18NUK_20230102T092237 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=11/tile=MGRS-18NUK/S2B_MSIL2A_20211127T153619_N0500_R068_T18NUK_20230102T092237.parquet
SCL_FEATURE_OK 71 S2B_MSIL2A_20211127T153619_N0500_R068_T18NUJ_20230102T092237 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=11/tile=MGRS-18NUJ/S2B_MSIL2A_20211127T153619_N0500_R068_T18NUJ_20230102T092237.parquet
SCL_FEATURE_OK 72 S2A_MSIL2A_20211202T153621_N0500_R068_T18NUK_20221225T053255 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=12/tile=MGRS-18NUK/S2A_MSIL2A_20211202T153621_N0500_R068_T18NUK_20221225T053255.parquet
SCL_FEATURE_OK 73 S2A_MSIL2A_20211202T153621_N0500_R068_T18NUJ_20221225T053255 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2021/month=12/tile=MGRS-18NUJ/S2A_MSIL2A_20211202T153621_N0500_R068_T18NUJ_20221225T053255.parquet
SCL_FEATURE_OK 74 S2B_MSIL2A_20220116T153619_N0510_R068_T18NUJ_20240501T001454 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2022/month=01/tile=MGRS-18NUJ/S2B_MSIL2A_20220116T153619_N0510_R068_T18NUJ_20240501T001454.parquet
SCL_FEATURE_OK 75 S2A_MSIL2A_20220220T153621_N0510_R068_T18NUK_20240516T195649 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2022/month=02/tile=MGRS-18NUK/S2A_MSIL2A_20220220T153621_N0510_R068_T18NUK_20240516T195649.parquet
SCL_FEATURE_OK 76 S2B_MSIL2A_20220406T153619_N0510_R068_T18NUK_20240602T092003 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2022/month=04/tile=MGRS-18NUK/S2B_MSIL2A_20220406T153619_N0510_R068_T18NUK_20240602T092003.parquet
SCL_FEATURE_OK 77 S2B_MSIL2A_20220406T153619_N0510_R068_T18NUJ_20240602T092003 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2022/month=04/tile=MGRS-18NUJ/S2B_MSIL2A_20220406T153619_N0510_R068_T18NUJ_20240602T092003.parquet
