sample_index,end_date,target_date,pollutant,horizon_days,grid_id,lat,lon,prediction_convlstm,kriged_residual,prediction_corrected,kriging_variance,kriging_status
118,2024-12-16,2024-12-23,SO2,7,g_005_037,3.3275,-76.4125,6.61502742767334,-1.5938613414764404,5.021166086196899,220.2301788330078,ok
118,2024-12-16,2024-12-23,SO2,7,g_005_038,3.3275,-76.4075,8.652738571166992,-1.469000220298767,7.183738350868225,226.6431121826172,ok
118,2024-12-16,2024-12-23,SO2,7,g_005_039,3.3275,-76.4025,12.059404373168944,-1.3402656316757202,10.719138741493223,233.22610473632807,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_000,3.3325,-76.5975,9.93355941772461,-2.3840925693511963,7.549466848373413,179.1709442138672,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_001,3.3325,-76.5925,6.636415481567383,-2.4685094356536865,4.167906045913696,174.2462615966797,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_002,3.3325,-76.58749999999999,5.369301795959473,-2.5465126037597656,2.822789192199707,169.6112823486328,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_003,3.3325,-76.5825,4.810005187988281,-2.6180341243743896,2.191971063613892,165.28062438964844,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_004,3.3325,-76.5775,4.582365036010742,-2.683030843734741,1.899334192276001,161.26736450195312,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_005,3.3325,-76.57249999999999,4.304555892944336,-2.741481065750122,1.563074827194214,157.58258056640625,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_006,3.3325,-76.5675,3.918669700622559,-2.7933833599090576,1.125286340713501,154.23477172851562,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_007,3.3325,-76.5625,3.49196720123291,-2.838752269744873,0.6532149314880371,151.2293701171875,ok
118,2024-12-16,2024-12-23,SO2,7,g_006_008,3.3325,-76.55749999999999,3.1769704818725586,-2.8776164054870605,0.299354076385498,148.56858825683594,ok
