pollutant,horizon_days,bin,distance_min,distance_max,distance_mean,semivariance,n_pairs
SO2,3,7,0.14387281418797074,0.16432829297242613,0.15350438123051477,16.794584419907952,1262
SO2,3,8,0.16432829297242613,0.18478377175688152,0.17405065229634323,18.83757106250467,881
SO2,3,9,0.18478377175688152,0.2052392505413369,0.1952452966096043,25.189751121262738,734
SO2,3,10,0.2052392505413369,0.2256947293257923,0.2138357297158682,24.005080734329418,431
SO2,3,11,0.2256947293257923,0.24615020811024768,0.2326027872571006,19.59771476781912,159
SO2,7,0,0.000684462696783017,0.021094431606367318,0.01009084082587402,10.36560407667288,824
SO2,7,1,0.021094431606367318,0.04150440051595162,0.03397611728126474,15.433216174583777,2029
SO2,7,2,0.04150440051595162,0.06191436942553592,0.05200301563784073,11.702649650873385,3767
SO2,7,3,0.06191436942553592,0.08232433833512022,0.07251050577905443,13.504627551716705,3702
SO2,7,4,0.08232433833512022,0.10273430724470452,0.09183791337577617,16.86158570368102,2545
SO2,7,5,0.10273430724470452,0.12314427615428883,0.11271799277256991,12.99616769314228,1955
SO2,7,6,0.12314427615428883,0.14355424506387313,0.13257876518711542,13.782489124118046,1558
SO2,7,7,0.14355424506387313,0.16396421397345742,0.1533155818329082,15.863852354145079,1338
SO2,7,8,0.16396421397345742,0.18437418288304172,0.17405924875834677,18.353435153939476,940
SO2,7,9,0.18437418288304172,0.20478415179262602,0.19483659965473538,15.376511342568163,676
SO2,7,10,0.20478415179262602,0.22519412070221032,0.21276990501987922,22.960437272280732,455
SO2,7,11,0.22519412070221032,0.2456040896117946,0.23195303723660682,27.095774073899047,142
