date,s5p_n_tiles_available_day,s5p_no2_mean,s5p_so2_mean,s5p_o3_mean,s5p_no2_available_pct,s5p_so2_available_pct,s5p_o3_available_pct
2023-01-22,1,0.0,0.0,0.11460713,1.0,1.0,1.0
2023-01-23,1,0.0,0.0,0.0019608357,1.0,1.0,1.0
2023-01-24,1,0.0,0.0,0.11343795,1.0,1.0,1.0
2023-01-25,1,1.705387e-05,-2.4215198e-05,0.115191296,1.0,1.0,1.0
2023-01-26,1,3.8971055e-05,4.7415815e-05,0.11606989,1.0,1.0,1.0
2023-01-27,1,3.0782867e-05,9.219884e-05,0.11651015,1.0,1.0,1.0
2023-01-28,1,4.7546026e-05,-1.0420788e-05,0.11549708,1.0,1.0,1.0
2023-01-29,1,1.105055e-05,1.1852394e-06,0.11514919,1.0,1.0,1.0
2023-01-30,1,2.3155688e-05,2.4095285e-05,0.113761485,1.0,1.0,1.0
2023-01-31,1,1.5190298e-05,2.0884845e-05,0.11562997,1.0,1.0,1.0
2023-02-01,1,2.3839513e-05,0.00012871962,0.115899876,1.0,1.0,1.0
2023-02-02,1,2.9777784e-08,5.127875e-05,0.11512636,1.0,1.0,1.0
2023-02-03,1,1.8646468e-05,1.0076036e-05,0.11545098,1.0,1.0,1.0
2023-02-04,1,7.676627e-06,-8.297643e-06,0.11581787,1.0,1.0,1.0
2023-02-05,1,2.738852e-05,-2.3110133e-05,0.11574552,1.0,1.0,1.0
2023-02-06,1,3.5041867e-05,8.8502056e-05,0.11519108,1.0,1.0,1.0
2023-02-07,1,2.7278893e-05,4.0305084e-05,0.11335596,1.0,1.0,1.0
2023-02-08,1,0.0,0.0,0.016853418,1.0,1.0,1.0
2023-02-09,1,5.5988576e-06,0.0,0.11374722,1.0,1.0,1.0
2023-02-10,1,2.6585267e-05,-3.8117214e-05,0.11339773,1.0,1.0,1.0
2023-02-11,1,1.777856e-05,-8.1769045e-05,0.1117858,1.0,1.0,1.0
2023-02-12,1,0.0,0.0,0.11139448,1.0,1.0,1.0
2023-02-13,1,0.0,0.0,0.11323017,1.0,1.0,1.0
2023-02-14,1,8.319349e-06,0.0,0.113646,1.0,1.0,1.0
2023-02-15,1,3.874883e-06,3.144305e-05,0.1138461,1.0,1.0,1.0
2023-02-16,1,1.0372123e-05,-5.6822473e-06,0.11378811,1.0,1.0,1.0
2023-02-17,1,1.857044e-05,0.00024124567,0.11438553,1.0,1.0,1.0
2023-02-18,1,0.0,0.0,0.11423025,1.0,1.0,1.0
2023-02-19,1,3.110669e-07,0.0,0.11417964,1.0,1.0,1.0
2023-02-20,1,0.0,0.0,0.113754414,1.0,1.0,1.0
2023-02-21,1,4.121395e-06,3.7687266e-06,0.115637854,1.0,1.0,1.0
2023-02-22,1,0.0,0.0,0.113082655,1.0,1.0,1.0
2023-02-23,1,3.404087e-05,0.00015804562,0.11533875,1.0,1.0,1.0
2023-02-24,1,0.0,0.0,0.057766005,1.0,1.0,1.0
2023-02-25,1,1.823007e-05,-1.7138214e-05,0.114990614,1.0,1.0,1.0
2023-02-26,1,5.5751348e-06,2.6738873e-05,0.11401421,1.0,1.0,1.0
2023-02-27,1,3.8355123e-05,9.126241e-05,0.113462046,1.0,1.0,1.0
2023-02-28,1,3.932242e-05,0.00012673825,0.114611164,1.0,1.0,1.0
2023-03-01,1,0.0,0.0,0.11429601,1.0,1.0,1.0
