split,candidate_class,unit,mean_abs_activation,active_frequency
val,vegetacion_densa,605,0.12819713354110718,0.7333333333333333
val,vegetacion_densa,204,0.12594114243984222,0.7555555555555555
val,vegetacion_densa,650,0.12017806619405746,0.6444444444444445
val,vegetacion_densa,566,0.11743932217359543,0.8
val,vegetacion_densa,674,0.11429902166128159,0.6666666666666666
val,vegetacion_densa,534,0.11286767572164536,0.7555555555555555
val,vegetacion_densa,229,0.11233627796173096,0.7333333333333333
val,vegetacion_densa,681,0.11189357191324234,0.7555555555555555
val,vegetacion_densa,374,0.11181128770112991,0.7555555555555555
val,vegetacion_densa,127,0.10785720497369766,0.7333333333333333
val,vegetacion_densa,655,0.10109540820121765,0.6444444444444445
val,vegetacion_densa,959,0.10097270458936691,0.7333333333333333
val,vegetacion_densa,711,0.10063981264829636,0.6222222222222222
val,vegetacion_densa,346,0.10002783685922623,0.5333333333333333
val,vegetacion_densa,837,0.0983746349811554,0.6222222222222222
val,vegetacion_densa,432,0.09793420135974884,0.6888888888888889
val,vegetacion_densa,88,0.09789767861366272,0.6222222222222222
val,vegetacion_densa,898,0.09678065776824951,0.6222222222222222
val,vegetacion_densa,819,0.0934085100889206,0.6666666666666666
val,vegetacion_densa,583,0.0914425328373909,0.6
test,contaminacion_alta_NO2,485,0.10627967864274979,0.7045454545454546
test,contaminacion_alta_NO2,758,0.10356998443603516,0.6818181818181818
test,contaminacion_alta_NO2,600,0.10134244710206985,0.6363636363636364
test,contaminacion_alta_NO2,998,0.09826047718524933,0.6363636363636364
test,contaminacion_alta_NO2,618,0.09024406224489212,0.6363636363636364
test,contaminacion_alta_NO2,321,0.08973401039838791,0.5909090909090909
test,contaminacion_alta_NO2,220,0.08907204866409302,0.6818181818181818
test,contaminacion_alta_NO2,703,0.08035259693861008,0.6590909090909091
test,contaminacion_alta_NO2,711,0.07940354943275452,0.5
test,contaminacion_alta_NO2,350,0.07910848408937454,0.5681818181818182
test,contaminacion_alta_NO2,191,0.07782221585512161,0.5909090909090909
test,contaminacion_alta_NO2,669,0.07687979191541672,0.5681818181818182
test,contaminacion_alta_NO2,367,0.07603880017995834,0.5681818181818182
test,contaminacion_alta_NO2,541,0.07362420111894608,0.5
test,contaminacion_alta_NO2,836,0.07355594635009766,0.5454545454545454
test,contaminacion_alta_NO2,530,0.07118571549654007,0.4318181818181818
test,contaminacion_alta_NO2,705,0.0711018368601799,0.5909090909090909
test,contaminacion_alta_NO2,37,0.07088498026132584,0.6136363636363636
test,contaminacion_alta_NO2,323,0.06974739581346512,0.5227272727272727
test,contaminacion_alta_NO2,429,0.06764043867588043,0.4772727272727273
test,contaminacion_alta_NO2,1,0.06738147139549255,0.5
test,contaminacion_alta_NO2,709,0.06710827350616455,0.4318181818181818
test,contaminacion_alta_NO2,213,0.06405966728925705,0.5
test,contaminacion_alta_NO2,1018,0.06334041804075241,0.5227272727272727
test,contaminacion_alta_NO2,49,0.06264398992061615,0.45454545454545453
test,contaminacion_alta_SO2,711,0.16636574268341064,0.82
test,contaminacion_alta_SO2,432,0.15415354073047638,0.9
test,contaminacion_alta_SO2,1,0.15392665565013885,0.74
test,contaminacion_alta_SO2,692,0.152186319231987,0.82
test,contaminacion_alta_SO2,269,0.14902344346046448,0.8
test,contaminacion_alta_SO2,566,0.14336179196834564,0.82
test,contaminacion_alta_SO2,1019,0.13334399461746216,0.76
test,contaminacion_alta_SO2,191,0.10882061719894409,0.82
test,contaminacion_alta_SO2,476,0.10488294810056686,0.8
test,contaminacion_alta_SO2,617,0.10349512100219727,0.7
test,contaminacion_alta_SO2,422,0.10308320820331573,0.72
test,contaminacion_alta_SO2,974,0.10289785265922546,0.74
test,contaminacion_alta_SO2,757,0.09951301664113998,0.74
test,contaminacion_alta_SO2,531,0.09935402125120163,0.76
test,contaminacion_alta_SO2,204,0.09437156468629837,0.66
test,contaminacion_alta_SO2,270,0.09035402536392212,0.62
test,contaminacion_alta_SO2,830,0.09007453173398972,0.6
test,contaminacion_alta_SO2,708,0.08861970901489258,0.72
test,contaminacion_alta_SO2,456,0.08717282116413116,0.66
test,contaminacion_alta_SO2,681,0.08567037433385849,0.66
test,contaminacion_alta_SO2,321,0.08507739752531052,0.68
test,contaminacion_alta_SO2,485,0.08506496250629425,0.68
test,contaminacion_alta_SO2,605,0.08426165580749512,0.58
test,contaminacion_alta_SO2,49,0.082117460668087,0.6
test,contaminacion_alta_SO2,346,0.08061030507087708,0.62
test,ozono_anomalo,711,0.12800481915473938,0.68
test,ozono_anomalo,692,0.11898115277290344,0.64
test,ozono_anomalo,1,0.11888732016086578,0.68
test,ozono_anomalo,432,0.11127348244190216,0.64
test,ozono_anomalo,251,0.11015172302722931,0.72
test,ozono_anomalo,606,0.10673604160547256,0.66
test,ozono_anomalo,541,0.10350413620471954,0.72
test,ozono_anomalo,566,0.09901387244462967,0.72
test,ozono_anomalo,269,0.096343033015728,0.6
test,ozono_anomalo,323,0.09399683773517609,0.66
test,ozono_anomalo,669,0.09192950278520584,0.64
test,ozono_anomalo,270,0.0890011191368103,0.66
test,ozono_anomalo,978,0.0883827805519104,0.62
test,ozono_anomalo,8,0.08712258189916611,0.68
test,ozono_anomalo,960,0.08284106850624084,0.7
test,ozono_anomalo,974,0.08170723170042038,0.56
test,ozono_anomalo,377,0.08015019446611404,0.6
test,ozono_anomalo,411,0.07844377309083939,0.58
test,ozono_anomalo,531,0.07810809463262558,0.58
test,ozono_anomalo,191,0.07775075733661652,0.6
test,ozono_anomalo,757,0.07668672502040863,0.64
