pollutant,horizon_days,bin,distance_min,distance_max,distance_mean,semivariance,n_pairs
NO2,7,10,0.175792835957107,0.1933036732831394,0.18336840148384753,78.04445832342621,81
NO2,7,11,0.1933036732831394,0.21081451060917183,0.19960235976663082,107.69948228728414,21
SO2,1,0,0.000684462696783017,0.021250981961369583,0.010771324272350967,13.232487907371857,840
SO2,1,1,0.021250981961369583,0.04181750122595615,0.03424439022627132,40.365278951990916,2107
SO2,1,2,0.04181750122595615,0.062384020490542716,0.05247707677784666,19.67447334238813,3712
SO2,1,3,0.062384020490542716,0.08295053975512928,0.07312141081840079,44.16195789834541,3763
SO2,1,4,0.08295053975512928,0.10351705901971585,0.09251202959686948,55.31976794793163,2654
SO2,1,5,0.10351705901971585,0.12408357828430241,0.11350833090083445,54.03916615311722,1888
SO2,1,6,0.12408357828430241,0.14465009754888897,0.13368056175373966,75.25586455238093,1544
SO2,1,7,0.14465009754888897,0.16521661681347555,0.15432743458816198,116.81686246912838,1268
SO2,1,8,0.16521661681347555,0.18578313607806213,0.17522114669326275,149.5436947305109,920
SO2,1,9,0.18578313607806213,0.20634965534264868,0.19606548574913774,242.6866965973325,717
SO2,1,10,0.20634965534264868,0.22691617460723523,0.214642169237334,258.5165374195347,436
SO2,1,11,0.22691617460723523,0.2474826938718218,0.2335383135569669,68.57589859728596,98
SO2,3,0,0.000684462696783017,0.021362055410533657,0.01025763858044142,11.108770113742603,883
SO2,3,1,0.021362055410533657,0.0420396481242843,0.03433085734075227,35.70019238498013,2104
SO2,3,2,0.0420396481242843,0.06271724083803494,0.05269661401898986,20.099715355162513,3737
SO2,3,3,0.06271724083803494,0.08339483355178558,0.07351275416481824,49.69007411266019,3730
SO2,3,4,0.08339483355178558,0.10407242626553621,0.09310387126973677,52.2692162157916,2614
SO2,3,5,0.10407242626553621,0.12475001897928686,0.1138011202812942,53.47112076376796,1941
SO2,3,6,0.12475001897928686,0.1454276116930375,0.13448865973174562,100.5434715462106,1577
SO2,3,7,0.1454276116930375,0.16610520440678814,0.1553140158409122,98.79174718084182,1259
SO2,3,8,0.16610520440678814,0.18678279712053877,0.176016999681103,195.75986479230428,895
SO2,3,9,0.18678279712053877,0.2074603898342894,0.19731030448710615,201.33502725453644,694
SO2,3,10,0.2074603898342894,0.22813798254804005,0.21567898051771467,302.9851371181284,412
SO2,3,11,0.22813798254804005,0.24881557526179068,0.23394456793873988,38.47287959374969,101
SO2,7,0,0.000684462696783017,0.021362055410533654,0.0104700973844151,12.43575729074031,847
SO2,7,1,0.021362055410533654,0.04203964812428429,0.034409682488387716,47.344217654754225,2056
SO2,7,2,0.04203964812428429,0.06271724083803493,0.05271588187290298,19.101192356835103,3799
SO2,7,3,0.06271724083803493,0.08339483355178556,0.07358179445511326,47.98228079452405,3695
SO2,7,4,0.08339483355178556,0.1040724262655362,0.09298373424630181,45.28109827739223,2600
SO2,7,5,0.1040724262655362,0.12475001897928684,0.11407539645352015,64.52499410792585,1934
SO2,7,6,0.12475001897928684,0.14542761169303747,0.13467817669450385,78.47291028541436,1564
SO2,7,7,0.14542761169303747,0.1661052044067881,0.15497412783190734,79.80186819688393,1337
SO2,7,8,0.1661052044067881,0.18678279712053875,0.17585451215399878,179.33784496206528,912
SO2,7,9,0.18678279712053875,0.20746038983428938,0.19724739595263,299.40804077950656,713
SO2,7,10,0.20746038983428938,0.22813798254804002,0.21593507416296476,381.1676391065778,379
SO2,7,11,0.22813798254804002,0.24881557526179066,0.23376312235685384,251.3768576266097,95
O3,1,0,0.000684462696783017,0.022165728312434265,0.010890676252850411,64.61190636629264,1086
O3,1,1,0.022165728312434265,0.04364699392808551,0.03425608028024825,68.33615593673937,1746
O3,1,2,0.04364699392808551,0.06512825954373676,0.053837673581377234,66.87885816874768,2817
O3,1,3,0.06512825954373676,0.08660952515938801,0.07882949045733406,87.4959556791726,3259
O3,1,4,0.08660952515938801,0.10809079077503926,0.09613487254717326,89.05578116640689,3485
O3,1,5,0.10809079077503926,0.1295720563906905,0.11780699177640783,92.11672240942983,2865
O3,1,6,0.1295720563906905,0.15105332200634175,0.1398708284071164,93.15804286699172,1772
O3,1,7,0.15105332200634175,0.172534587621993,0.16110849782857795,103.80224100289475,1219
O3,1,8,0.172534587621993,0.19401585323764425,0.18153969226591085,103.34833572277016,790
O3,1,9,0.19401585323764425,0.2154971188532955,0.20392929725024156,96.71077059067366,564
O3,1,10,0.2154971188532955,0.23697838446894676,0.22538691187984294,64.80634719682955,289
O3,1,11,0.23697838446894676,0.258459650084598,0.24264375638882668,63.69252962299413,59
O3,3,0,0.000684462696783017,0.02176888731826665,0.010752552127632233,54.43747757962293,1040
O3,3,1,0.02176888731826665,0.04285331193975028,0.03398932566027795,63.89127582185081,1668
O3,3,2,0.04285331193975028,0.06393773656123392,0.053162190851062094,61.30220646758608,2679
O3,3,3,0.06393773656123392,0.08502216118271755,0.07684969753669475,68.00427349932178,2837
O3,3,4,0.08502216118271755,0.10610658580420118,0.09398321739017754,73.42049005708364,3795
O3,3,5,0.10610658580420118,0.12719101042568481,0.11609627664450657,72.86158324163215,2823
O3,3,6,0.12719101042568481,0.14827543504716845,0.13733587360050667,79.97436847863551,1857
O3,3,7,0.14827543504716845,0.16935985966865208,0.15804013074087445,75.42517135345996,1304
O3,3,8,0.16935985966865208,0.1904442842901357,0.17915026274959023,82.48593772824017,939
