pollutant,horizon_days,grid_id,lat,lon,prediction_corrected,kriging_variance,local_i,p_sim,quadrant,significant,lisa_cluster
NO2,7,g_028_034,3.4425,-76.4275,10.238172054290771,63.27009201049805,0.5387268399890038,0.031,1,True,high_high
NO2,7,g_028_035,3.4425,-76.4225,10.187471389770508,64.45894622802734,0.46793014270368094,0.042,1,True,high_high
NO2,7,g_028_036,3.4425,-76.41749999999999,9.95604419708252,65.66555786132812,0.22490941748658683,0.105,1,False,not_significant
NO2,7,g_028_037,3.4425,-76.4125,9.476504802703856,66.88850402832031,0.030351821528168944,0.193,1,False,not_significant
NO2,7,g_028_038,3.4425,-76.4075,9.558123588562012,68.12651824951172,0.128133440580748,0.027,1,True,high_high
NO2,7,g_028_039,3.4425,-76.4025,11.329938888549805,69.37846374511719,1.6162672948394627,0.005,1,True,high_high
NO2,7,g_029_000,3.4475,-76.5975,10.9791259765625,55.60676574707031,0.9976238618939911,0.03,1,True,high_high
NO2,7,g_029_001,3.4475,-76.5925,9.729505062103271,54.7098503112793,0.14341611956559586,0.101,1,False,not_significant
NO2,7,g_029_002,3.4475,-76.58749999999999,8.99285078048706,53.85893630981445,0.0786324651522923,0.266,3,False,not_significant
NO2,7,g_029_003,3.4475,-76.5825,8.582614421844482,53.05835723876953,0.41385708174397506,0.041,3,True,low_low
NO2,7,g_029_004,3.4475,-76.5775,8.392834186553955,52.312721252441406,0.6691306637445343,0.006,3,True,low_low
NO2,7,g_029_005,3.4475,-76.57249999999999,8.268236637115479,51.62686538696289,0.850886864636264,0.005,3,True,low_low
NO2,7,g_029_006,3.4475,-76.5675,8.137040138244629,51.00577545166016,1.0288152047508121,0.003,3,True,low_low
NO2,7,g_029_007,3.4475,-76.5625,8.061105728149414,50.45446014404297,1.1343554125307886,0.003,3,True,low_low
NO2,7,g_029_008,3.4475,-76.55749999999999,8.120478630065918,49.97782897949219,0.9784899447300576,0.003,3,True,low_low
NO2,7,g_029_009,3.4475,-76.5525,8.51228141784668,49.58051300048828,0.46992820511551653,0.034,3,True,low_low
NO2,7,g_029_010,3.4475,-76.5475,9.116703033447266,49.26667404174805,0.03752266100668788,0.353,3,False,not_significant
NO2,7,g_029_011,3.4475,-76.54249999999999,9.8150954246521,49.03981399536133,0.12384459808797585,0.18,1,False,not_significant
NO2,7,g_029_012,3.4475,-76.5375,10.297210216522217,48.902587890625,0.6134673174115072,0.026,1,True,high_high
NO2,7,g_029_013,3.4475,-76.5325,10.64655828475952,48.85665893554688,1.177885009066284,0.003,1,True,high_high
NO2,7,g_029_014,3.4475,-76.5275,10.862206935882568,48.902587890625,1.6187352634516412,0.001,1,True,high_high
NO2,7,g_029_015,3.4475,-76.5225,10.950701236724854,49.03981399536133,1.854892799043534,0.001,1,True,high_high
NO2,7,g_029_016,3.4475,-76.5175,10.986637115478516,49.26667404174805,1.9472915562089035,0.001,1,True,high_high
NO2,7,g_029_017,3.4475,-76.5125,10.962702751159668,49.58051300048828,1.939691575653313,0.001,1,True,high_high
NO2,7,g_029_018,3.4475,-76.5075,10.962420463562012,49.97782897949219,1.9553177055753703,0.001,1,True,high_high
NO2,7,g_029_019,3.4475,-76.5025,10.999905586242676,50.45446014404297,2.0181617683740236,0.001,1,True,high_high
NO2,7,g_029_020,3.4475,-76.4975,10.995306015014648,51.00577545166016,1.9875825645660234,0.001,1,True,high_high
NO2,7,g_029_021,3.4475,-76.49249999999999,10.90135908126831,51.62686538696289,1.743684334721911,0.001,1,True,high_high
NO2,7,g_029_022,3.4475,-76.4875,10.667562007904053,52.312721252441406,1.240958385641691,0.002,1,True,high_high
NO2,7,g_029_023,3.4475,-76.4825,10.29283857345581,53.05835723876953,0.6633011168034445,0.016,1,True,high_high
NO2,7,g_029_024,3.4475,-76.47749999999999,9.976172924041748,53.85893630981445,0.3113676456364734,0.054,1,False,not_significant
NO2,7,g_029_025,3.4475,-76.4725,9.913196086883543,54.7098503112793,0.21773548208832327,0.102,1,False,not_significant
NO2,7,g_029_026,3.4475,-76.4675,9.944536209106444,55.60676574707031,0.1811621978205121,0.147,1,False,not_significant
NO2,7,g_029_027,3.4475,-76.46249999999999,9.733707904815674,56.54566192626953,0.017384257893691413,0.416,1,False,not_significant
NO2,7,g_029_028,3.4475,-76.4575,8.83278512954712,57.5228271484375,0.15783989837521742,0.189,3,False,not_significant
NO2,7,g_029_029,3.4475,-76.4525,8.314419746398926,58.534889221191406,0.5149441372683062,0.049,3,True,low_low
NO2,7,g_029_030,3.4475,-76.44749999999999,8.754859447479248,59.57876586914063,0.21957419588551833,0.13,3,False,not_significant
NO2,7,g_029_031,3.4475,-76.4425,9.402756214141846,60.65168380737305,0.00047463810896249673,0.465,1,False,not_significant
NO2,7,g_029_032,3.4475,-76.4375,9.872969627380373,61.75113677978516,0.17247761215013316,0.131,1,False,not_significant
NO2,7,g_029_033,3.4475,-76.43249999999999,10.102835655212402,62.87487030029297,0.3901490732183156,0.049,1,True,high_high
NO2,7,g_029_034,3.4475,-76.4275,10.200586318969728,64.02085876464844,0.4929435019765994,0.037,1,True,high_high
NO2,7,g_029_035,3.4475,-76.4225,10.133177280426024,65.18729400634766,0.40757484268618654,0.049,1,True,high_high
NO2,7,g_029_036,3.4475,-76.41749999999999,9.85891580581665,66.3725357055664,0.16922594470302224,0.13,1,False,not_significant
NO2,7,g_029_037,3.4475,-76.4125,9.402712345123293,67.57512664794922,0.012856128027286879,0.165,1,False,not_significant
NO2,7,g_029_038,3.4475,-76.4075,9.823881149291992,68.79375457763672,0.33905746383289037,0.014,1,True,high_high
NO2,7,g_029_039,3.4475,-76.4025,11.62702178955078,70.02723693847656,2.091284102492112,0.003,1,True,high_high
NO2,7,g_030_000,3.4525,-76.5975,11.267324924468994,56.61405563354492,1.5036296478862414,0.005,1,True,high_high
NO2,7,g_030_001,3.4525,-76.5925,10.088439464569092,55.747745513916016,0.41991473233765897,0.037,1,True,high_high
NO2,7,g_030_002,3.4525,-76.58749999999999,9.341431140899658,54.92766952514648,0.00045646116718789956,0.488,3,False,not_significant
NO2,7,g_030_003,3.4525,-76.5825,8.968944072723389,54.15785598754883,0.14020200137015537,0.131,3,False,not_significant
NO2,7,g_030_004,3.4525,-76.5775,8.813163757324219,53.44253540039063,0.2810422762682283,0.048,3,True,low_low
NO2,7,g_030_005,3.4525,-76.57249999999999,8.731305599212646,52.78610229492188,0.37528889079188094,0.02,3,True,low_low
NO2,7,g_030_006,3.4525,-76.5675,8.639832019805908,52.193016052246094,0.4877188944865687,0.008,3,True,low_low
NO2,7,g_030_007,3.4525,-76.5625,8.48213005065918,51.667728424072266,0.6531410478945845,0.005,3,True,low_low
