grid_id,lat,lon,NO2_t1_pred,NO2_t1_var,NO2_t3_pred,NO2_t3_var,NO2_t7_pred,NO2_t7_var,SO2_t1_pred,SO2_t1_var,SO2_t3_pred,SO2_t3_var,SO2_t7_pred,SO2_t7_var,O3_t1_pred,O3_t1_var,O3_t3_pred,O3_t3_var,O3_t7_pred,O3_t7_var,cluster,mean_prediction_profile,max_prediction_profile,mean_uncertainty_profile
g_035_014,3.4775,-76.5275,11.549668312072754,60.99774169921875,9.445260524749756,57.24824905395508,10.479108810424805,56.85224533081055,2.731796395033598,17.74880027770996,4.823105692863464,18.28365135192871,3.186856210231781,18.62887191772461,24.33853435516357,74.59947967529297,22.94432187080384,65.45848083496094,23.76767611503601,65.4583511352539,1,12.58514758737551,24.33853435516357,48.36398569742838
g_035_015,3.4775,-76.5225,11.712372779846191,61.15382766723633,9.673947811126707,57.398216247558594,10.761847496032717,56.95376205444336,3.57625424861908,14.680027961730955,5.267547965049744,15.128971099853516,3.5646926164627075,15.512507438659668,23.012232303619385,73.96788787841797,21.944653034210205,65.17760467529297,23.164660930633545,64.89354705810547,1,12.519801020622253,23.164660930633545,47.207372453477646
g_035_016,3.4775,-76.5175,11.8349027633667,61.41279602050781,9.83522129058838,57.64703750610352,10.965595722198486,57.122215270996094,4.962372303009033,13.261896133422852,6.4331501722335815,13.679576873779297,4.454296469688416,14.215217590332031,22.182597160339355,73.57942962646484,21.29786515235901,64.99796295166016,22.88211989402771,64.54641723632812,1,12.760902325312296,22.88211989402771,46.7180610232883
g_035_017,3.4775,-76.5125,11.908326625823976,61.77294158935547,9.883092403411863,57.99306106567383,11.11048698425293,57.35652923583984,6.302923202514648,14.167011260986328,7.756270885467529,14.632403373718262,5.248075842857361,15.503966331481934,21.778170585632324,73.48856353759766,20.97421360015869,64.94090270996094,22.862797021865845,64.46614837646484,1,13.091595239109463,22.862797021865845,47.14683638678657
g_035_018,3.4775,-76.5075,11.95224905014038,62.23193740844727,9.89085578918457,58.43406295776367,11.114304065704346,57.655235290527344,7.1632280349731445,16.678436279296875,8.799022912979126,17.248619079589844,5.629731774330139,18.610254287719727,21.855271816253666,73.65418243408203,21.021585941314697,64.99307250976562,23.027026653289795,64.61630249023438,1,13.383697337574429,23.027026653289795,48.23578919304742
g_035_019,3.4775,-76.5025,11.94849157333374,62.78693389892578,9.849503993988035,58.96729278564453,11.076315879821776,58.01653289794922,7.526161432266235,20.03937149047852,9.241273880004885,20.74186897277832,5.592735648155212,22.61307144165039,22.249518871307373,74.00553894042969,21.383559465408325,65.12850952148438,23.340994834899902,64.93328857421875,1,13.578728397687277,23.340994834899902,49.692489835951065
g_035_020,3.4775,-76.4975,11.903040409088137,63.43463516235352,9.815557956695557,59.58958435058594,10.98511838912964,58.43832778930664,7.527742147445679,24.15144157409668,9.299002170562744,25.003137588500977,5.357203722000122,27.273197174072266,22.790454387664795,74.4902114868164,21.8552041053772,65.32618713378906,23.696940898895264,65.36929321289062,1,13.69225157631768,23.696940898895264,51.45289060804579
g_035_021,3.4775,-76.49249999999999,11.79951524734497,64.17137908935547,9.680341243743896,60.29742050170898,10.737928867340088,58.918304443359375,7.341403484344482,29.04647254943848,9.09590768814087,30.06138038635254,5.008874297142029,32.573333740234375,23.89341402053833,75.06746673583984,22.770723342895508,65.56904602050781,24.40643548965454,65.88710021972656,1,13.859393742349413,24.40643548965454,53.51021152072482
g_035_022,3.4775,-76.4875,11.455780029296877,64.99325561523438,9.195970058441162,61.087032318115234,10.007748126983644,59.4539680480957,7.012827396392822,34.615203857421875,8.697471141815186,35.804439544677734,4.635505318641663,38.43032836914063,26.875412940979004,75.70326232910156,25.09489870071411,65.84293365478516,26.47019624710083,66.45608520507812,1,14.382867773373922,26.875412940979004,55.82072321573893
g_035_023,3.4775,-76.4825,10.627593517303469,65.89614868164062,8.482088088989258,61.95447540283203,8.823055267333984,60.04270935058594,6.616414546966553,40.67169189453125,8.458491802215576,42.04312515258789,4.845378398895264,44.70552062988281,32.4102144241333,76.37259674072266,29.91461944580078,66.13737487792969,31.3847975730896,67.05398559570312,1,15.729183673858643,32.4102144241333,58.31973648071289
g_035_024,3.4775,-76.47749999999999,9.976965427398682,66.8758773803711,8.175526142120361,62.89572525024414,8.411319732666016,60.68185424804688,6.478652477264404,47.05247497558594,8.419596672058105,48.61149978637695,5.331049919128418,51.27302551269531,36.2587628364563,77.06083679199219,33.87211084365845,66.44599151611328,35.70735216140747,67.66792297363281,4,16.959037356906467,36.2587628364563,60.95168982611762
g_035_025,3.4775,-76.4725,9.714147567749023,67.92821502685547,8.16870927810669,63.90671920776367,8.550801753997803,61.36870574951172,6.487680435180664,53.64883804321289,8.471888065338135,55.39942932128906,5.6679887771606445,58.04731750488281,37.89459848403931,77.76236724853516,35.73265314102173,66.7658920288086,37.78348779678345,68.29306030273438,4,17.60799503326416,37.89459848403931,63.68006049262153
g_035_026,3.4775,-76.4675,9.586106538772585,69.04899597167969,8.204965591430664,64.98344421386719,8.692214012145996,62.10058975219727,6.554777145385742,60.39908218383789,8.558698654174805,62.344573974609375,5.976145029067993,64.97948455810547,38.64310359954834,78.47775268554688,36.47832584381104,67.09663391113281,38.61708450317383,68.93009948730469,4,17.923491213056778,38.64310359954834,66.48451741536458
g_035_027,3.4775,-76.46249999999999,9.42514991760254,70.2341079711914,8.226638793945312,66.12197875976562,8.83062744140625,62.87487030029297,6.642983913421631,67.2719955444336,8.388514041900635,69.41551971435547,6.186445236206055,72.04481506347656,39.71427154541016,79.21094512939453,37.45480155944824,67.43912506103516,39.82785606384277,69.58272552490234,4,18.299698723687065,39.82785606384277,69.35512034098308
g_035_028,3.4775,-76.4575,9.22615647315979,71.47960662841797,8.302248477935791,67.31849670410156,9.17400884628296,63.68900680541992,6.727465629577637,74.2533187866211,8.101471900939941,76.59798431396484,6.473639726638794,79.23197174072266,40.8563928604126,79.96694946289062,38.727463245391846,67.79475402832031,41.46251916885376,70.25557708740234,4,18.783485147688125,41.46251916885376,72.28751839531793
g_035_029,3.4775,-76.4525,8.996489763259888,72.78167724609375,8.489602088928223,68.5693588256836,9.711921215057371,64.54054260253906,7.116111755371094,81.33699798583984,8.194325923919678,83.88594055175781,6.988603830337524,86.53582763671875,41.588966369628906,80.75032806396484,39.78369188308716,68.164794921875,42.73394966125488,70.95284271240234,4,19.289295832316082,42.73394966125488,75.27981228298611
g_035_030,3.4775,-76.44749999999999,8.81448245048523,74.13670349121094,8.73171615600586,69.87107849121094,10.134047031402588,65.42713928222656,7.607760906219482,88.52032470703125,8.546943187713623,91.27667236328124,7.604991912841797,93.95350646972656,41.96616506576538,81.56434631347656,40.395957469940186,68.55008697509766,43.38857841491699,71.67750549316406,4,19.68784917725457,43.38857841491699,78.33081817626953
g_035_031,3.4775,-76.4425,8.690079689025879,75.54125213623047,8.892767906188965,71.22036743164062,10.36253261566162,66.34656524658203,7.726777076721191,95.80142211914062,8.653565883636475,98.76824951171876,7.823128461837768,101.48239135742188,42.223108768463135,82.41071319580078,40.69495677947998,68.95092010498047,43.759850025177,72.4311752319336,4,19.869640800688003,43.759850025177,81.43922848171658
g_035_032,3.4775,-76.4375,8.728026151657104,76.99209594726562,8.99736738204956,72.61412048339844,10.451438426971436,67.29673767089844,7.563302516937256,103.17816162109376,8.613574504852295,106.3584442138672,7.795682191848755,109.1193389892578,42.1451416015625,83.28974151611328,40.623321533203125,69.36708068847656,43.79418754577637,73.21414947509766,4,19.85689353942871,43.79418754577637,84.60331895616319
g_035_033,3.4775,-76.43249999999999,8.845811367034912,78.48621368408203,8.99801778793335,74.04943084716797,10.441349029541016,68.27568054199219,7.432534694671631,110.64781188964844,8.57470178604126,114.0443878173828,7.789511203765869,116.86054229736328,41.87242126464844,84.20063781738281,40.44387435913086,69.7979736328125,43.63083362579346,74.02571868896484,4,19.78100612428453,43.63083362579346,87.82093302408855
g_035_034,3.4775,-76.4275,8.999935388565063,80.02076721191406,8.94910478591919,75.5235824584961,10.407567024230955,69.28154754638672,7.702781677246094,118.20704650878906,8.811675548553467,121.82259368896484,8.192141056060791,124.70156860351562,41.563156604766846,85.14183807373047,40.31420850753784,70.24274444580078,43.31934213638306,74.86449432373047,4,19.806656969918144,43.31934213638306,91.0895758734809
g_035_035,3.4775,-76.4225,9.195345401763916,81.59312438964844,8.885123252868652,77.03404998779297,10.438992023468018,70.3126220703125,8.507590293884277,125.8520965576172,9.451519012451172,129.68910217285156,9.057376861572266,132.63763427734375,41.28141736984253,86.1113510131836,40.21820592880249,70.70040893554688,42.954001903533936,75.72869110107422,4,19.998841338687473,42.954001903533936,94.40656450059679
