archivo,ruta,extension,size_mb,fecha_inferida,carpeta_padre,modificado,anio,mes
era5_land_cali_2021_06.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2021_06.nc,.nc,0.2213,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:54,,
era5_land_cali_2021_07.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2021_07.nc,.nc,0.2244,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:54,,
era5_land_cali_2021_08.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2021_08.nc,.nc,0.2261,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:54,,
era5_land_cali_2021_09.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2021_09.nc,.nc,0.2212,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:54,,
era5_land_cali_2021_10.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2021_10.nc,.nc,0.2257,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:54,,
era5_land_cali_2021_11.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2021_11.nc,.nc,0.2219,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:54,,
era5_land_cali_2021_12.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2021_12.nc,.nc,0.2256,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:54,,
era5_land_cali_2022_01.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2022_01.nc,.nc,0.2249,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:55,,
era5_land_cali_2022_02.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2022_02.nc,.nc,0.2132,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:55,,
era5_land_cali_2022_03.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2022_03.nc,.nc,0.2254,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:55,,
era5_land_cali_2022_04.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2022_04.nc,.nc,0.2228,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:55,,
era5_land_cali_2022_05.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2022_05.nc,.nc,0.225,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:55,,
era5_land_cali_2022_06.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2022_06.nc,.nc,0.2221,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:55,,
era5_land_cali_2022_07.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2022_07.nc,.nc,0.2254,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:55,,
era5_land_cali_2022_08.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2022_08.nc,.nc,0.2255,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:55,,
era5_land_cali_2022_09.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2022_09.nc,.nc,0.2212,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:55,,
era5_land_cali_2022_10.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2022_10.nc,.nc,0.2257,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:55,,
era5_land_cali_2022_11.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2022_11.nc,.nc,0.2221,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:56,,
era5_land_cali_2022_12.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2022_12.nc,.nc,0.2252,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:56,,
era5_land_cali_2023_01.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2023_01.nc,.nc,0.226,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:56,,
era5_land_cali_2023_02.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2023_02.nc,.nc,0.2147,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:56,,
era5_land_cali_2023_03.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2023_03.nc,.nc,0.2257,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:56,,
era5_land_cali_2023_04.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2023_04.nc,.nc,0.2215,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:56,,
era5_land_cali_2023_05.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2023_05.nc,.nc,0.2252,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:56,,
era5_land_cali_2023_06.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2023_06.nc,.nc,0.2213,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:56,,
era5_land_cali_2023_07.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2023_07.nc,.nc,0.2247,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:57,,
era5_land_cali_2023_08.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2023_08.nc,.nc,0.2244,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:57,,
era5_land_cali_2023_09.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2023_09.nc,.nc,0.2212,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:57,,
era5_land_cali_2023_10.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2023_10.nc,.nc,0.2254,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:57,,
era5_land_cali_2023_11.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2023_11.nc,.nc,0.2214,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:57,,
era5_land_cali_2023_12.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2023_12.nc,.nc,0.2247,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:57,,
era5_land_cali_2024_01.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2024_01.nc,.nc,0.2244,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:57,,
era5_land_cali_2024_02.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2024_02.nc,.nc,0.2174,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:57,,
era5_land_cali_2024_03.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2024_03.nc,.nc,0.2256,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:57,,
era5_land_cali_2024_04.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2024_04.nc,.nc,0.2217,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:57,,
era5_land_cali_2024_05.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2024_05.nc,.nc,0.2252,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:57,,
era5_land_cali_2024_06.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2024_06.nc,.nc,0.221,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:57,,
era5_land_cali_2024_07.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2024_07.nc,.nc,0.2237,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:57,,
era5_land_cali_2024_08.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2024_08.nc,.nc,0.2242,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:57,,
era5_land_cali_2024_09.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2024_09.nc,.nc,0.2211,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:57,,
era5_land_cali_2024_10.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2024_10.nc,.nc,0.2253,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:57,,
era5_land_cali_2024_11.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2024_11.nc,.nc,0.2211,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:57,,
era5_land_cali_2024_12.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2024_12.nc,.nc,0.2254,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:57,,
modis_maiac_aod_2020-01-01.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-01-01.tif,.tif,0.0022,2020-01-01,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:57,2020.0,2020-01
modis_maiac_aod_2020-01-02.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-01-02.tif,.tif,0.002,2020-01-02,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:58,2020.0,2020-01
modis_maiac_aod_2020-01-03.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-01-03.tif,.tif,0.0035,2020-01-03,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:58,2020.0,2020-01
modis_maiac_aod_2020-01-04.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-01-04.tif,.tif,0.0039,2020-01-04,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:58,2020.0,2020-01
modis_maiac_aod_2020-01-05.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-01-05.tif,.tif,0.0032,2020-01-05,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:58,2020.0,2020-01
modis_maiac_aod_2020-01-06.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-01-06.tif,.tif,0.0037,2020-01-06,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:58,2020.0,2020-01
modis_maiac_aod_2020-01-07.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-01-07.tif,.tif,0.0034,2020-01-07,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:58,2020.0,2020-01
modis_maiac_aod_2020-01-08.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-01-08.tif,.tif,0.0048,2020-01-08,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:58,2020.0,2020-01
modis_maiac_aod_2020-01-10.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-01-10.tif,.tif,0.0046,2020-01-10,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:58,2020.0,2020-01
modis_maiac_aod_2020-01-11.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-01-11.tif,.tif,0.0035,2020-01-11,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:58,2020.0,2020-01
modis_maiac_aod_2020-01-12.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-01-12.tif,.tif,0.004,2020-01-12,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:58,2020.0,2020-01
modis_maiac_aod_2020-01-13.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-01-13.tif,.tif,0.0048,2020-01-13,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:58,2020.0,2020-01
modis_maiac_aod_2020-01-14.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-01-14.tif,.tif,0.0031,2020-01-14,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:58,2020.0,2020-01
modis_maiac_aod_2020-01-17.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-01-17.tif,.tif,0.0055,2020-01-17,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:58,2020.0,2020-01
modis_maiac_aod_2020-01-18.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-01-18.tif,.tif,0.0022,2020-01-18,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:58,2020.0,2020-01
modis_maiac_aod_2020-01-19.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-01-19.tif,.tif,0.0049,2020-01-19,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:58,2020.0,2020-01
modis_maiac_aod_2020-01-23.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-01-23.tif,.tif,0.002,2020-01-23,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:58,2020.0,2020-01
modis_maiac_aod_2020-01-26.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-01-26.tif,.tif,0.0028,2020-01-26,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:58,2020.0,2020-01
modis_maiac_aod_2020-01-27.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-01-27.tif,.tif,0.0022,2020-01-27,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:58,2020.0,2020-01
modis_maiac_aod_2020-01-28.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-01-28.tif,.tif,0.0033,2020-01-28,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:58,2020.0,2020-01
modis_maiac_aod_2020-01-29.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-01-29.tif,.tif,0.0028,2020-01-29,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:58,2020.0,2020-01
modis_maiac_aod_2020-01-30.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-01-30.tif,.tif,0.0044,2020-01-30,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:58,2020.0,2020-01
modis_maiac_aod_2020-01-31.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-01-31.tif,.tif,0.0016,2020-01-31,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:58,2020.0,2020-01
modis_maiac_aod_2020-02-04.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-02-04.tif,.tif,0.0051,2020-02-04,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:58,2020.0,2020-02
modis_maiac_aod_2020-02-05.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-02-05.tif,.tif,0.0047,2020-02-05,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:59,2020.0,2020-02
modis_maiac_aod_2020-02-06.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-02-06.tif,.tif,0.0053,2020-02-06,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:59,2020.0,2020-02
modis_maiac_aod_2020-02-07.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-02-07.tif,.tif,0.0043,2020-02-07,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:59,2020.0,2020-02
modis_maiac_aod_2020-02-08.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-02-08.tif,.tif,0.0029,2020-02-08,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:59,2020.0,2020-02
modis_maiac_aod_2020-02-09.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-02-09.tif,.tif,0.0027,2020-02-09,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:59,2020.0,2020-02
modis_maiac_aod_2020-02-11.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-02-11.tif,.tif,0.0048,2020-02-11,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:59,2020.0,2020-02
modis_maiac_aod_2020-02-12.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-02-12.tif,.tif,0.0042,2020-02-12,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:59,2020.0,2020-02
modis_maiac_aod_2020-02-13.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-02-13.tif,.tif,0.0049,2020-02-13,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:59,2020.0,2020-02
modis_maiac_aod_2020-02-14.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-02-14.tif,.tif,0.0032,2020-02-14,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:59,2020.0,2020-02
modis_maiac_aod_2020-02-15.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-02-15.tif,.tif,0.0046,2020-02-15,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:59,2020.0,2020-02
modis_maiac_aod_2020-02-16.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-02-16.tif,.tif,0.0042,2020-02-16,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:59,2020.0,2020-02
modis_maiac_aod_2020-02-18.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-02-18.tif,.tif,0.0016,2020-02-18,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:59,2020.0,2020-02
modis_maiac_aod_2020-02-24.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-02-24.tif,.tif,0.0035,2020-02-24,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:59,2020.0,2020-02
modis_maiac_aod_2020-02-27.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-02-27.tif,.tif,0.0015,2020-02-27,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:59,2020.0,2020-02
modis_maiac_aod_2020-02-29.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-02-29.tif,.tif,0.0029,2020-02-29,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:59,2020.0,2020-02
modis_maiac_aod_2020-03-01.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-03-01.tif,.tif,0.0031,2020-03-01,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:59,2020.0,2020-03
modis_maiac_aod_2020-03-02.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-03-02.tif,.tif,0.0014,2020-03-02,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:59,2020.0,2020-03
modis_maiac_aod_2020-03-03.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-03-03.tif,.tif,0.004,2020-03-03,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:59,2020.0,2020-03
modis_maiac_aod_2020-03-05.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-03-05.tif,.tif,0.0045,2020-03-05,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:59,2020.0,2020-03
modis_maiac_aod_2020-03-08.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-03-08.tif,.tif,0.0034,2020-03-08,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:59,2020.0,2020-03
modis_maiac_aod_2020-03-09.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-03-09.tif,.tif,0.0029,2020-03-09,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:59,2020.0,2020-03
modis_maiac_aod_2020-03-10.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-03-10.tif,.tif,0.0038,2020-03-10,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:59,2020.0,2020-03
modis_maiac_aod_2020-03-11.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-03-11.tif,.tif,0.0016,2020-03-11,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:59,2020.0,2020-03
modis_maiac_aod_2020-03-12.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-03-12.tif,.tif,0.0028,2020-03-12,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:59,2020.0,2020-03
modis_maiac_aod_2020-03-14.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-03-14.tif,.tif,0.0018,2020-03-14,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:42:59,2020.0,2020-03
modis_maiac_aod_2020-03-17.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-03-17.tif,.tif,0.0018,2020-03-17,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:43:00,2020.0,2020-03
modis_maiac_aod_2020-03-18.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-03-18.tif,.tif,0.0041,2020-03-18,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:43:00,2020.0,2020-03
modis_maiac_aod_2020-03-19.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-03-19.tif,.tif,0.0032,2020-03-19,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:43:00,2020.0,2020-03
modis_maiac_aod_2020-03-21.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-03-21.tif,.tif,0.0047,2020-03-21,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:43:00,2020.0,2020-03
modis_maiac_aod_2020-03-22.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-03-22.tif,.tif,0.0047,2020-03-22,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:43:00,2020.0,2020-03
modis_maiac_aod_2020-03-23.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-03-23.tif,.tif,0.005,2020-03-23,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:43:00,2020.0,2020-03
modis_maiac_aod_2020-03-24.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-03-24.tif,.tif,0.002,2020-03-24,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:43:00,2020.0,2020-03
modis_maiac_aod_2020-03-26.tif,/workspace/geovision-cali-hf/data/modis/modis_maiac_aod_2020-03-26.tif,.tif,0.0033,2020-03-26,/workspace/geovision-cali-hf/data/modis,2026-05-22 03:43:00,2020.0,2020-03
