,no2_insitu,so2_insitu,o3_insitu,temperature_2m_c,dewpoint_2m_c,relative_humidity_pct,wind_speed_10m,wind_direction_10m_deg,surface_pressure_hpa,total_precipitation_mm_hourly,surface_solar_radiation_downwards_j_m2,aod_047_interp,aod_055_interp,aod_047_observado,aod_055_observado,s5p_tile_distance_km,s5p_qa_no2,s5p_qa_so2,s5p_qa_o3,s2_cloud_pct,s2_valid_pixel_pct,s2_ndvi,s2_bsi,s2_ndbi,s2_urban_index,s2_vegetation_fraction
aod_055_interp,0.0007073914916098137,0.006782879242545012,-0.0027676312491535147,-0.032819139286805736,0.0993635782515318,0.1064362720547326,-0.074896816820603,-0.04176671064162759,-0.08904816583084134,0.06311959271667056,-0.0251123657730847,0.9999820828146176,1.0,0.9999808735820485,1.0,-0.02671381967436226,,,,0.14359011794711582,-0.016377152754623838,-0.020443230379996465,-0.061430587621798344,-0.04808646593776271,-0.05426199490583065,-0.006874002759328438
aod_047_observado,0.005771738295176903,-0.0006149296457554847,-0.00551288605182012,-0.02485118748803238,0.11877537677990407,0.10424742365297907,-0.0804155832690591,-0.04071593665657669,-0.06933942478568511,0.05893840752796781,-0.029095785147286127,1.0,0.9999808735820485,1.0,0.9999808735820482,-0.02804094966534991,,,,0.1458400661259095,-0.006514606334570591,-0.009828025052927927,-0.05921702929548211,-0.04618708997938495,-0.05220995039835023,0.0009850870274030928
aod_055_observado,0.005635145437751006,-0.0007116849110509738,-0.005526751542945419,-0.02496493377173092,0.11865708422969627,0.10432875537026393,-0.0804444261615854,-0.040773708340006425,-0.06953996542480355,0.059032864972431556,-0.029154022787000196,0.9999808735820482,1.0,0.9999808735820482,1.0,-0.02796320461257103,,,,0.14553747531533573,-0.00652723509268511,-0.009885406548081796,-0.05930332617950656,-0.04622853845962537,-0.0522713472608142,0.000996498640768441
s5p_tile_distance_km,,0.011375691873284084,0.06459745831031695,-0.023861207240897964,-0.04765768799464525,-0.0005184502729635884,-0.008704336123942003,-0.005659664263911588,-0.040812189182906924,0.0018184465303086271,-0.0011979312534338108,-0.02681758454584935,-0.02671381967436226,-0.02804094966534991,-0.02796320461257103,1.0,,,,0.04273486075127314,0.03650433221003161,-0.19047387467749136,0.03788170674484097,0.06386881907063302,0.05292788053067888,-0.2054120460306892
s5p_qa_no2,,,,,,,,,,,,,,,,,,,,,,,,,,
s5p_qa_so2,,,,,,,,,,,,,,,,,,,,,,,,,,
s5p_qa_o3,,,,,,,,,,,,,,,,,,,,,,,,,,
s2_cloud_pct,0.041113628239684445,-0.010299744472122759,-0.021861005737505938,-0.10045591374754,-0.05719502013482352,0.09003827815814555,-0.10180508156128479,-0.04546004160899676,-0.03521158312669042,0.06613890239150877,-0.035222516858987495,0.14393588293661672,0.14359011794711582,0.1458400661259095,0.14553747531533573,0.04273486075127314,,,,1.0,-0.18572707943719854,-0.17606459827305748,-0.29346249680001546,-0.20663615201812335,-0.24608624128990933,-0.12294776101955787
s2_valid_pixel_pct,0.00983046897613704,0.009611821754934092,0.0038497869684793653,0.012889772480356734,0.008612259003568205,-0.011240828388026498,0.009448550410755284,0.006032391058514163,-0.0012182822401531693,-0.0014097853711405545,0.00037349854245058255,-0.01641763456449613,-0.016377152754623838,-0.006514606334570591,-0.00652723509268511,0.03650433221003161,,,,-0.18572707943719854,1.0,0.27133985904396196,0.2495719654665671,0.18817567175777286,0.21636134696109807,0.17358530532513583
s2_ndvi,-0.028508715423258692,0.0013431195698656007,0.06778042066841798,-0.003152557506047794,-0.012284784474206735,-0.003403856545788277,-0.005933413403063433,-0.00882349289682949,-0.01913336875479016,-0.012085756667588193,0.0004605965339209766,-0.020472630236452134,-0.020443230379996465,-0.009828025052927927,-0.009885406548081796,-0.19047387467749136,,,,-0.17606459827305748,0.27133985904396196,1.0,-0.38728451787418056,-0.5271121136076575,-0.4695071622305488,0.94053134149065
